Gene	"Gene description"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"
NT5DC3	"5'-nucleotidase domain containing 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NT5E	"5'-nucleotidase ecto"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NT5M	"5',3'-nucleotidase, mitochondrial"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NTAN1	"N-terminal asparagine amidase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NTAQ1	"N-terminal glutamine amidase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NTPCR	"Nucleoside-triphosphatase, cancer-related"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUDT10	"Nudix hydrolase 10"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUDT11	"Nudix hydrolase 11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUDT12	"Nudix hydrolase 12"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUDT14	"Nudix hydrolase 14"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUDT2	"Nudix hydrolase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUDT3	"Nudix hydrolase 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUDT4	"Nudix hydrolase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUDT5	"Nudix hydrolase 5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUDT9	"Nudix hydrolase 9"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP107	"Nucleoporin 107"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP133	"Nucleoporin 133"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP153	"Nucleoporin 153"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP155	"Nucleoporin 155"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP160	"Nucleoporin 160"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP188	"Nucleoporin 188"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP205	"Nucleoporin 205"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP210	"Nucleoporin 210"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP210L	"Nucleoporin 210 like"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
NUP214	"Nucleoporin 214"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP35	"Nucleoporin 35"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP37	"Nucleoporin 37"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP42	"Nucleoporin 42"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP43	"Nucleoporin 43"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP50	"Nucleoporin 50"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP54	"Nucleoporin 54"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP58	"Nucleoporin 58"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP62	"Nucleoporin 62"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP62CL	"Nucleoporin 62 C-terminal like"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP85	"Nucleoporin 85"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP88	"Nucleoporin 88"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NUP93	"Nucleoporin 93"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NUP98	"Nucleoporin 98 and 96 precursor"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
OARD1	"O-acyl-ADP-ribose deacylase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OAT	"Ornithine aminotransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OCA2	"OCA2 melanosomal transmembrane protein"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
OCRL	"OCRL inositol polyphosphate-5-phosphatase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ODC1	"Ornithine decarboxylase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OGA	O-GlcNAcase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OGDH	"Oxoglutarate dehydrogenase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OGDHL	"Oxoglutarate dehydrogenase L"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OGT	"O-linked N-acetylglucosamine (GlcNAc) transferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OLAH	"Oleoyl-ACP hydrolase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OPLAH	"5-oxoprolinase, ATP-hydrolysing"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OTC	"Ornithine transcarbamylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OTUD5	"OTU deubiquitinase 5"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
OXCT1	"3-oxoacid CoA-transferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
OXCT2	"3-oxoacid CoA-transferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
OXSM	"3-oxoacyl-ACP synthase, mitochondrial"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
P4HA1	"Prolyl 4-hydroxylase subunit alpha 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
P4HA2	"Prolyl 4-hydroxylase subunit alpha 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
P4HA3	"Prolyl 4-hydroxylase subunit alpha 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
P4HB	"Prolyl 4-hydroxylase subunit beta"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PADI1	"Peptidyl arginine deiminase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PADI2	"Peptidyl arginine deiminase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PADI3	"Peptidyl arginine deiminase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PADI4	"Peptidyl arginine deiminase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PADI6	"Peptidyl arginine deiminase 6"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PAFAH1B1	"Platelet activating factor acetylhydrolase 1b regulatory subunit 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PAFAH1B2	"Platelet activating factor acetylhydrolase 1b catalytic subunit 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PAFAH1B3	"Platelet activating factor acetylhydrolase 1b catalytic subunit 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PAFAH2	"Platelet activating factor acetylhydrolase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PAH	"Phenylalanine hydroxylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PAICS	"Phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PAM	"Peptidylglycine alpha-amidating monooxygenase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PANK1	"Pantothenate kinase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PANK2	"Pantothenate kinase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PANK3	"Pantothenate kinase 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PANK4	"Pantothenate kinase 4 (inactive)"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PAOX	"Polyamine oxidase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PAPOLA	"Poly(A) polymerase alpha"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PAPOLB	"Poly(A) polymerase beta"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
PAPOLG	"Poly(A) polymerase gamma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PAPSS1	"3'-phosphoadenosine 5'-phosphosulfate synthase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PAPSS2	"3'-phosphoadenosine 5'-phosphosulfate synthase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP1	"Poly(ADP-ribose) polymerase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP10	"Poly(ADP-ribose) polymerase family member 10"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP11	"Poly(ADP-ribose) polymerase family member 11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP12	"Poly(ADP-ribose) polymerase family member 12"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PARP14	"Poly(ADP-ribose) polymerase family member 14"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP15	"Poly(ADP-ribose) polymerase family member 15"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PARP16	"Poly(ADP-ribose) polymerase family member 16"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
PARP2	"Poly(ADP-ribose) polymerase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP3	"Poly(ADP-ribose) polymerase family member 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP4	"Poly(ADP-ribose) polymerase family member 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP6	"Poly(ADP-ribose) polymerase family member 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP8	"Poly(ADP-ribose) polymerase family member 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PARP9	"Poly(ADP-ribose) polymerase family member 9"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
PC	"Pyruvate carboxylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
